"source","h","state","irf","se_irf","ci_low","ci_high","ci_low_68","ci_high_68"
"GDP-weighted country aggregates",12,"Low fragmentation (-1 sd)",0.292098854085125,1.1771330383065,-2.01508190099562,2.59927960916587,-0.885034184221377,1.46923189239163
"GDP-weighted country aggregates",13,"Low fragmentation (-1 sd)",1.69910117319833,0.872180955340504,-0.0103734992690587,3.40857584566572,0.826920217857825,2.57128212853883
"GDP-weighted country aggregates",14,"Low fragmentation (-1 sd)",1.96584784187714,0.865113404018175,0.270225570001518,3.66147011375277,1.10073443785897,2.83096124589532
"GDP-weighted country aggregates",15,"Low fragmentation (-1 sd)",3.52929562415462,0.894414239719597,1.77624371430421,5.28234753400503,2.63488138443503,4.42370986387422
"GDP-weighted country aggregates",16,"Low fragmentation (-1 sd)",1.61708244455762,0.741775043603982,0.163203359093818,3.07096153002143,0.875307400953641,2.35885748816161
"GDP-weighted country aggregates",17,"Low fragmentation (-1 sd)",1.98601396730146,0.867109960715722,0.286478444298646,3.68554949030428,1.11890400658574,2.85312392801718
"GDP-weighted country aggregates",18,"Low fragmentation (-1 sd)",2.6766993810409,0.751314832174966,1.20412230997797,4.14927645210383,1.92538454886593,3.42801421321587
"GDP-weighted country aggregates",19,"Low fragmentation (-1 sd)",2.11626360576677,0.795577697636578,0.55693131839908,3.67559589313446,1.32068590813019,2.91184130340335
"GDP-weighted country aggregates",20,"Low fragmentation (-1 sd)",1.71839476422753,0.774387949800284,0.200594382618976,3.23619514583609,0.944006814427248,2.49278271402782
"GDP-weighted country aggregates",21,"Low fragmentation (-1 sd)",2.35925998774804,0.805683286424339,0.78012074635634,3.93839922913975,1.55357670132371,3.16494327417238
"GDP-weighted country aggregates",22,"Low fragmentation (-1 sd)",2.17167996059135,0.713402214757525,0.773411619666601,3.5699483015161,1.45827774583383,2.88508217534888
"GDP-weighted country aggregates",23,"Low fragmentation (-1 sd)",2.03399202238868,0.923939762363575,0.223070088156071,3.84491395662129,1.1100522600251,2.95793178475225
"GDP-weighted country aggregates",24,"Low fragmentation (-1 sd)",2.82598056707592,0.792901855470805,1.27189293035314,4.38006820379869,2.03307871160511,3.61888242254672
"GDP-weighted country aggregates",0,"Average fragmentation",-0.25040036132028,0.346940567978084,-0.930403874557325,0.429603151916765,-0.597340929298364,0.0965402066578041
"GDP-weighted country aggregates",1,"Average fragmentation",-2.16122628781064,1.73941849372877,-5.57048653551903,1.24803395989775,-3.90064478153941,-0.421807794081867
"GDP-weighted country aggregates",2,"Average fragmentation",-0.162137909646304,0.62984041248853,-1.39662511812382,1.07234929883121,-0.791978322134834,0.467702502842225
"GDP-weighted country aggregates",3,"Average fragmentation",-0.353076453306835,0.512868749560211,-1.35829920244485,0.652146295831178,-0.865945202867046,0.159792296253376
"GDP-weighted country aggregates",4,"Average fragmentation",-0.610479417643473,0.575277808604309,-1.73802392250792,0.517065087220972,-1.18575722624778,-0.0352016090391648
"GDP-weighted country aggregates",5,"Average fragmentation",-0.330751586199475,0.491563201278463,-1.29421546070526,0.632712288306313,-0.822314787477938,0.160811615078988
"GDP-weighted country aggregates",6,"Average fragmentation",-0.501221224325051,0.600152900298939,-1.67752090891097,0.675078460260869,-1.10137412462399,0.0989316759738875
"GDP-weighted country aggregates",7,"Average fragmentation",1.30519383153429,1.19264666372047,-1.03239362935783,3.6427812924264,0.112547167813819,2.49784049525475
"GDP-weighted country aggregates",8,"Average fragmentation",3.13297432177048,3.49815499380506,-3.72340946608744,9.98935810962841,-0.365180672034577,6.63112931557555
"GDP-weighted country aggregates",9,"Average fragmentation",-3.04060800337677,2.55396256011507,-8.04637462120231,1.96515861444877,-5.59457056349184,-0.486645443261696
"GDP-weighted country aggregates",10,"Average fragmentation",-1.52449938480549,1.17512905023187,-3.82775232325996,0.778753553648981,-2.69962843503736,-0.349370334573618
"GDP-weighted country aggregates",11,"Average fragmentation",-1.11507436830278,0.994101792996915,-3.06351388257674,0.83336514597117,-2.1091761612997,-0.120972575305869
"GDP-weighted country aggregates",12,"Average fragmentation",-1.45073476195321,0.734897478332745,-2.89113381948539,-0.010335704421029,-2.18563224028595,-0.715837283620464
"GDP-weighted country aggregates",13,"Average fragmentation",-0.359944908980492,0.530313066233193,-1.39935851879755,0.679468700836566,-0.890257975213685,0.1703681572527
"GDP-weighted country aggregates",14,"Average fragmentation",-0.484543331500085,0.440378304469531,-1.34768480826037,0.378598145260196,-0.924921635969616,-0.0441650270305539
"GDP-weighted country aggregates",15,"Average fragmentation",0.566662556987256,0.512777602987984,-0.438381544869192,1.5717066588437,0.0538849539992723,1.07944015997524
